slug	sido	name	dongs	alias
chungbuk-chungju	충북	충주	성내동,교현동,용산동,지현동,문화동,호암동,달천동,봉방동,칠금동,연수동,목행동,주덕읍,살미면,수안보면,대소원면,동량면,산척면,엄정면,소태면,앙성면,중앙탑면,금가면,노은면,신니면	
chungbuk-jecheon	충북	제천	의림동,서부동,중앙동,남현동,교동,화산동,영서동,청전동,신백동,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,두학동	
chungbuk-boeun	충북	보은	보은읍,속리산면,장안면,마로면,탄부면,삼승면,수한면,회남면,회인면,내북면,산외면	
chungbuk-okcheon	충북	옥천	옥천읍,동이면,안남면,안내면,청성면,청산면,이원면,군서면,군북면	
chungbuk-yeongdong	충북	영동	영동읍,용산면,황간면,추풍령면,매곡면,상촌면,양강면,용화면,학산면,양산면,심천면	
chungbuk-jeungpyeong	충북	증평	증평읍,도안면	
chungbuk-jincheon	충북	진천	진천읍,덕산읍,초평면,문백면,백곡면,이월면,광혜원면	
chungbuk-goesan	충북	괴산	괴산읍,감물면,장연면,연풍면,칠성면,문광면,청천면,청안면,사리면,소수면,불정면	
chungbuk-eumseong	충북	음성	음성읍,금왕읍,대소면,삼성면,생극면,감곡면,원남면,맹동면,소이면	
chungbuk-danyang	충북	단양	단양읍,매포읍,대강면,가곡면,영춘면,어상천면,적성면,단성면	
jeonbuk-iksan	전북	익산	영등동,어양동,부송동,동산동,마동,남중동,모현동,송학동,평화동,인화동,중앙동,신동,팔봉동,삼성동,함열읍,오산면,황등면,함라면,웅포면,성당면,용안면,낭산면,망성면,여산면,금마면,왕궁면,춘포면,삼기면,용동면	
jeonbuk-jeongeup	전북	정읍	수성동,장명동,연지동,농소동,상교동,시기동,초산동,내장상동,신태인읍,북면,입암면,소성면,고부면,영원면,덕천면,이평면,정우면,태인면,감곡면,옹동면,칠보면,산내면,산외면	
jeonbuk-namwon	전북	남원	도통동,동충동,죽항동,노암동,금동,왕정동,향교동,운봉읍,주천면,수지면,송동면,주생면,금지면,대강면,대산면,사매면,덕과면,보절면,산동면,이백면,인월면,아영면,산내면	
jeonbuk-gimje	전북	김제	요촌동,신풍동,교월동,검산동,만경읍,죽산면,백산면,용지면,백구면,부량면,공덕면,청하면,성덕면,진봉면,금구면,봉남면,황산면,금산면,광활면	
jeonbuk-wanju	전북	완주	봉동읍,삼례읍,용진읍,상관면,이서면,소양면,구이면,고산면,비봉면,운주면,화산면,동상면,경천면	
jeonbuk-jinan	전북	진안	진안읍,마령면,부귀면,백운면,성수면,안천면,동향면,상전면,정천면,주천면,용담면	
jeonbuk-muju	전북	무주	무주읍,무풍면,설천면,적상면,안성면,부남면	
jeonbuk-jangsu	전북	장수	장수읍,산서면,번암면,장계면,천천면,계남면,계북면	
jeonbuk-imsil	전북	임실	임실읍,청웅면,운암면,신평면,성수면,오수면,신덕면,삼계면,관촌면,강진면,덕치면,지사면	
jeonbuk-sunchang	전북	순창	순창읍,인계면,동계면,풍산면,금과면,팔덕면,복흥면,쌍치면,구림면,적성면,유등면	
jeonbuk-gochang	전북	고창	고창읍,고수면,아산면,무장면,공음면,상하면,해리면,성송면,대산면,심원면,흥덕면,성내면,신림면,부안면	
jeonbuk-buan	전북	부안	부안읍,주산면,동진면,행안면,계화면,보안면,변산면,진서면,백산면,상서면,하서면,줄포면,위도면	
gyeonggi-icheon	경기	이천	창전동,중리동,관고동,증포동,부발읍,장호원읍,마장면,대월면,모가면,설성면,율면,백사면,신둔면,호법면	
